,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
372,北京高因科技有限公司,居理新房,2000人以上,C轮,朝阳区,算法工程师,不限,本科,25k-40k,平台大，氛围佳，领导好，福利好。,居住服务,开发|测试|运维类,"绩效奖金,交通补助,带薪年假,通讯津贴",人工智能,北京
373,大韶（西安）投资管理有限公司,大韶投资,少于15人,未融资,雁塔区,算法工程师,在校/应届,硕士,8k-15k,深入了解大规模数据训练,科技金融,开发|测试|运维类,,数据开发,西安
374,华为技术有限公司,华为技术有限公司,2000人以上,不需要融资,龙岗区,深度学习算法工程师,不限,本科,20k-40k,业界前沿技术,"智能硬件,IT技术服务｜咨询,制造业",开发|测试|运维类,"福利完善,国际化平台,定期体检,绩效奖金",人工智能,深圳
375,秒针信息技术有限公司,明略科技集团,2000人以上,D轮及以上,徐汇区,视觉算法深度学习工程师,3-5年,本科,30k-40k,公司重点项目,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"六险一金,年底双薪,绩效奖金,完成E轮融资",人工智能,上海
376,北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,海淀区,算法工程师(J10265),3-5年,本科,30k-60k,团队好,工具类产品,开发|测试|运维类,"股票期权,扁平管理,管理规范,技能培训",人工智能,北京
377,上海欣兆阳信息科技有限公司,Convert lab,50-150人,B轮,徐汇区,算法工程师,3-5年,本科,30k-60k,提供午餐晚餐，无996，007，大小周,IT技术服务｜咨询,开发|测试|运维类,"股票期权,巨大市场空间,行业经验丰富,定期体检",人工智能,上海
378,上海荣学网络科技有限公司,习惯熊,150-500人,A轮,浦东新区,算法工程师（14-16薪）,3-5年,本科,15k-30k,五险一金 股票期权 零食下午茶 团建旅游,"电商平台,在线教育",开发|测试|运维类,,人工智能,上海
379,北京京东世纪贸易有限公司,京东物流,2000人以上,A轮,大兴区,AI算法工程师,3-5年,本科,25k-50k,工作有意思福利待遇好，发展前景佳领导超nice,物流｜运输,开发|测试|运维类,"免费班车,子女教育计划,安居计划,救助基金",人工智能,北京
380,圆通速递有限公司,圆通,2000人以上,上市公司,青浦区,算法工程师,3-5年,本科,20k-35k,上市公司、提供住宿、餐补,物流｜运输,开发|测试|运维类,"技能培训,免费班车,专项奖金,岗位晋升",人工智能,上海
381,圆通速递有限公司,圆通,2000人以上,上市公司,青浦区,算法工程师,3-5年,本科,20k-40k,大牛团队，大平台,物流｜运输,开发|测试|运维类,"技能培训,免费班车,专项奖金,岗位晋升",数据开发,上海
382,北京思灵机器人科技有限责任公司,思灵机器人,50-150人,B轮,海淀区,深度学习算法工程师,1-3年,本科,15k-30k,七险一金、大牛带队、定期体检、国际团队,硬件,开发|测试|运维类,,人工智能,北京
383,广东格兰仕集团有限公司,格兰仕,2000人以上,不需要融资,南山区,slam算法工程师,3-5年,本科,25k-35k,大平台,制造业,开发|测试|运维类,,人工智能,深圳
384,蓝鸽集团有限公司,蓝鸽集团,500-2000人,不需要融资,下城区,算法工程师,在校/应届,硕士,12k-20k,包住、供应三餐、周末双休、五险一金、股权激励,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"专项奖金,加班费,两房一厅公寓,博士后工作站",人工智能,杭州
385,北京和信康科技有限公司,和信康,50-150人,B轮,朝阳区,资深AI算法工程师,不限,硕士,25k-50k,"前沿项目,发展空间大,技术大牛,领导好","数据服务｜咨询,人工智能服务,电商平台",开发|测试|运维类,"年底双薪,岗位晋升,扁平管理,五险一金",人工智能,北京
386,芋头科技（杭州）有限公司,Rokid,50-150人,B轮,西湖区,SLAM算法工程师,5-10年,硕士,30k-60k,弹性工作、餐补、发展空间、股票期权,智能硬件,开发|测试|运维类,"股票期权,专项奖金,绩效奖金,定期体检",人工智能,杭州
387,芋头科技（杭州）有限公司,Rokid,50-150人,B轮,西湖区,计算机视觉算法工程师,3-5年,本科,25k-50k,弹性工作、餐补、发展空间、股票期权,智能硬件,开发|测试|运维类,"股票期权,专项奖金,绩效奖金,定期体检",人工智能,杭州
388,江苏岐凤科技有限公司,岐凤科技,15-50人,不需要融资,虹口区,算法工程师,5-10年,本科,20k-30k,年底双薪,IT技术服务｜咨询,开发|测试|运维类,,人工智能,上海
389,北京值得买科技股份有限公司,值得买科技,500-2000人,上市公司,丰台区,资深算法工程师（研究员）,5-10年,本科,80k-150k,大数据 扁平化 电商导流,消费生活,开发|测试|运维类,"技能培训,带薪年假,各种主题趴,海量产品体验",后端开发,北京
390,广州赛吧网络科技有限公司,赛吧科技,15-50人,天使轮,荔湾区,算法工程师,1-3年,本科,12k-15k,包餐、社保、福利好、发展空间,软件服务｜咨询,开发|测试|运维类,"股票期权,年终分红,午餐补助,节日礼物",人工智能,广州
391,广州宸祺出行科技有限公司,如祺出行,150-500人,未融资,海珠区,算法工程师,3-5年,本科,30k-50k,弹性工作时间 员工子女补充医疗,旅游｜出行,开发|测试|运维类,"带薪年假,午餐补助,通讯津贴,定期体检",人工智能,广州
392,讯汇科技（广州）有限公司,讯汇科技,150-500人,不需要融资,天河区,视觉AI算法工程师,1-3年,本科,20k-40k,"绩效奖金,周末双休,带薪年假,节日福利",IT技术服务｜咨询,开发|测试|运维类,"节日礼物,技能培训,绩效奖金,年度旅游",人工智能,广州
393,上海安硕信息技术股份有限公司,安硕信息（amarsoft）,2000人以上,上市公司,高新区,算法工程师,3-5年,不限,20k-40k,"牛人带队,领先优势,福利优厚,发展空间大","软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"岗位晋升,顶尖团队,福利优厚,股票期权",人工智能,苏州
394,上海品览数据科技有限公司,品览Pinlan,50-150人,A轮,浦东新区,算法工程师,3-5年,硕士,15k-30k,"创始团队,精英带队,成长空间,回报丰厚","人工智能服务,IT技术服务｜咨询",开发|测试|运维类,"股票期权,定期体检,交通补助,午餐补助",人工智能,上海
395,上海品览数据科技有限公司,品览Pinlan,50-150人,A轮,浦东新区,算法工程师,3-5年,本科,25k-50k,"AI+,大牛多多,成长带回报","人工智能服务,IT技术服务｜咨询",开发|测试|运维类,"股票期权,定期体检,交通补助,午餐补助",人工智能,上海
396,易见供应链管理股份有限公司,易见股份,150-500人,上市公司,海淀区,AI遥感解译算法工程师/专家,3-5年,硕士,20k-36k,有活力的团队，有前景的工作！,"物联网,科技金融",开发|测试|运维类,,人工智能,北京
397,华风象辑（北京）气象科技有限公司,象辑科技,150-500人,C轮,浦口区,ai算法工程师,3-5年,本科,15k-25k,发展前景,数据服务｜咨询,开发|测试|运维类,"带薪年假,扁平管理,领导好,五险一金",人工智能,南京
398,航天宏康智能科技（北京）有限公司,航天宏康,50-150人,不需要融资,海淀区,算法工程师,在校/应届,本科,10k-15k,五险一金、工会福利、周末双休、法定节假日,"人工智能服务,IT技术服务｜咨询,软件服务｜咨询",开发|测试|运维类,"行业领先,成长空间,精英团队,人工智能",人工智能,北京
