,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
112,上海派拉软件股份有限公司,派拉软件,150-500人,C轮,浦东新区,dba工程师,1-3年,大专,10k-15k,年终奖高，晋升空间大，扁平化管理,信息安全,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,岗位晋升",运维,上海
113,西安瑞蓝创软件科技有限公司,西安瑞蓝创软件科技有限公司,50-150人,未融资,高新技术产业开发区,数据库工程师,在校/应届,本科,5k-9k,六险一金 奖金 团建 双休 节日福利,软件服务｜咨询,开发|测试|运维类,"定期体检,带薪年假,股票期权,节日福利",运维,西安
114,雪球（北京）技术开发有限公司,雪球,150-500人,D轮及以上,朝阳区,DBA专家 (MJ000678),5-10年,本科,20k-40k,新融资，高速发展中，团队氛围好,内容资讯,开发|测试|运维类,"股票期权,带薪年假,年度旅游,定期体检",运维,北京
115,特赞（上海）信息科技有限公司,特赞|Tezign,150-500人,C轮,虹口区,dba工程师,3-5年,本科,20k-30k,大牛团队 弹性不打卡 团队氛围佳 C轮,营销服务｜咨询,开发|测试|运维类,"技能培训,扁平管理,弹性工作,全员持股",运维,上海
116,网易（杭州）网络有限公司,网易,2000人以上,上市公司,海淀区,DBA资深专家 - 有道事业群777,3-5年,本科,25k-45k,平台大,"内容资讯,游戏,音频｜视频媒体",开发|测试|运维类,"节日礼物,技能培训,免费班车,带薪年假",运维,北京
117,深圳市傲冠软件股份有限公司,傲冠软件,150-500人,上市公司,福田区,oracle/DBA运维工程师,1-3年,大专,12k-15k,五险一金 年终分红 带薪年假 定期体检,"人工智能服务,信息安全",开发|测试|运维类,"五险一金,股票期权,定期体检,带薪年假",运维,深圳
118,成都西山居世游科技有限公司北京分公司,金山世游,2000人以上,上市公司,海淀区,dba工程师,3-5年,本科,25k-40k,六险一金，食堂，旅游，体检,游戏,开发|测试|运维类,"年底双薪,绩效奖金,年度旅游,美女多",运维,北京
119,杭州米络星科技（集团）有限公司,米络星科技,500-2000人,不需要融资,拱墅区,DBA (MJ000245),3-5年,本科,20k-35k,周末双休、五险一金,"MCN｜直播平台,在线教育",开发|测试|运维类,"年底双薪,绩效奖金,专项奖金,五险一金",运维,杭州
120,弘康人寿保险股份有限公司,弘康人寿,150-500人,不需要融资,朝阳区,dba工程师,1-3年,本科,10k-20k,"六险一金,工作居住证,福利补贴,年终奖",科技金融,开发|测试|运维类,"年底双薪,节日礼物,技能培训,绩效奖金",运维,北京
121,弗睿网络科技（广州）有限公司,弗睿网络,150-500人,不需要融资,天河区,高级dba工程师,3-5年,大专,15k-20k,薪资待遇好,电商,开发|测试|运维类,"定期体检,节日礼物,美女多,领导好",运维,广州
122,上海嘉会国际医院有限公司,嘉会医疗,500-2000人,不需要融资,徐汇区,数据库工程师 DBA (MJ001479),5-10年,本科,25k-35k,五险两金 带薪年假 周末双休 团队建设,医疗｜保健｜美容,开发|测试|运维类,,运维,上海
123,安徽百得思维信息科技有限公司,百得思维,2000人以上,未融资,东昌府区,数据库开发工程师,3-5年,大专,10k-15k,五险一金+双休+餐补+油补+话补,人工智能服务,开发|测试|运维类,"带薪年假,绩效奖金,定期体检,午餐补助",数据开发,聊城
124,安徽百得思维信息科技有限公司,百得思维,2000人以上,未融资,高新区,数据库开发工程师,3-5年,本科,11k-14k,五险一金+双休+餐补+话补,人工智能服务,开发|测试|运维类,"带薪年假,绩效奖金,定期体检,午餐补助",数据开发,合肥
125,湖南长城信息金融设备有限责任公司,长城金融,500-2000人,上市公司,长沙县,dba数据库工程师,3-5年,本科,10k-15k,央企、股权激励,科技金融,开发|测试|运维类,,运维,长沙
126,达疆网络科技（上海）有限公司,达达集团,2000人以上,上市公司,杨浦区,DBA专家,5-10年,大专,25k-40k,风口平台、技术氛围浓厚、上市公司,物流平台,开发|测试|运维类,"弹性工作,股票期权,扁平管理,技术氛围浓厚",运维,上海
127,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,数据库工程师,5-10年,本科,25k-35k,发展空间大、福利好、免费三餐,居住服务,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",运维,北京
128,昆仑智汇数据科技（北京）有限公司,K2DATA,150-500人,B轮,海淀区,数据库测试开发工程师,3-5年,本科,15k-25k,一流的科研团队与平台,数据服务｜咨询,开发|测试|运维类,"风口行业,顶尖团队,扁平管理,学习型组织",测试,北京
129,昆仑智汇数据科技（北京）有限公司,K2DATA,150-500人,B轮,海淀区,时序数据库测试开发工程师,3-5年,本科,15k-25k,一流的科研团队与平台,数据服务｜咨询,开发|测试|运维类,"风口行业,顶尖团队,扁平管理,学习型组织",测试,北京
130,上海天数智芯半导体有限公司,天数智芯,150-500人,B轮,长安区,数据库工程师,1-3年,大专,20k-30k,五险一金，年终奖，带薪休假，定期体检,"硬件,人工智能",开发|测试|运维类,,后端开发,西安
131,深圳市百果互动科技有限公司,百果科技,150-500人,B轮,南山区,中高级DBA（Mysql）,5-10年,本科,18k-28k,可塑性强，团队氛围融洽，五险一金，年终奖,新零售,开发|测试|运维类,"绩效奖金,年终分红,带薪年假,定期体检",运维,深圳
132,美的集团财务有限公司,美的金融,150-500人,不需要融资,南山区,开发DBA,1-3年,本科,20k-40k,世界500强、车补、带薪年假 、购房补贴、,科技金融,开发|测试|运维类,"年底双薪,带薪年假,午餐补助,世界500强",运维,深圳
133,上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,DBA,3-5年,本科,15k-30k,上市公司 免费三餐 员工旅游 每年多次调薪,软件服务｜咨询,开发|测试|运维类,"技能培训,带薪年假,绩效奖金,岗位晋升",运维,上海
134,智运通（北京）科技有限责任公司,智运通,15-50人,A轮,海淀区,数据库运维工程师(MongoDB),3-5年,本科,20k-40k,工作氛围好 福利待遇好,物流平台,开发|测试|运维类,,运维,北京
135,深圳易可达科技有限公司,纵腾集团,2000人以上,上市公司,龙岗区,dba,5-10年,大专,20k-30k,地铁周边、办公环境良好,物流平台,开发|测试|运维类,"绩效奖金,年度旅游,节日礼物,美女多",运维,深圳
136,浙江深大智能科技有限公司,浙江深大智能科技有限公司,500-2000人,B轮,西湖区,dba数据库工程师,3-5年,本科,20k-35k,互联网，旅游领头,"移动互联网,旅游",开发|测试|运维类,"帅哥美女多,高大上办公区,免费旅游,人性化管理",运维,杭州
137,浙江盘石信息技术股份有限公司,浙江盘石,2000人以上,D轮及以上,拱墅区,DBA,5-10年,本科,15k-25k,食堂包吃，五险一金，带薪休假等,"人工智能服务,软件服务｜咨询,营销服务｜咨询",开发|测试|运维类,"节日礼物,股票期权,带薪年假,岗位晋升",运维,杭州
138,广州银行股份有限公司信用卡中心,广州银行信用卡中心,2000人以上,不需要融资,天河区,DBA,5-10年,本科,18k-26k,金融科技 数据开发 数据表设计 DBA Oracle,科技金融,开发|测试|运维类,"带薪年假,午餐补助,发展平台,金融",数据开发,广州
139,北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,DBA,5-10年,本科,25k-35k,上市公司,数据服务｜咨询,开发|测试|运维类,"绩效奖金,通讯津贴,定期体检,带薪年假",运维,北京
140,深圳盈富斯科技有限公司,盈富斯,500-2000人,C轮,南山区,数据库工程师DBA,3-5年,本科,20k-35k,国际化团队 大牛多 知名风投,电商平台,开发|测试|运维类,"股票期权,带薪年假,五险一金,弹性工作",运维,深圳
141,成都西山居互动娱乐科技有限公司珠海分公司,西山居游戏,2000人以上,不需要融资,香洲区,DBA数据库工程师 (MJ000562),3-5年,本科,12k-24k,平台大,游戏,开发|测试|运维类,"带薪年假,年度旅游,节日礼物,大牛多多",运维,珠海
142,北京无极慧通科技有限公司,无极慧通,50-150人,A轮,海淀区,高级数据库工程师,1-3年,本科,10k-15k,"广阔的发展,创业公司,融洽的办公",在线医疗,开发|测试|运维类,"技能培训,年底双薪,岗位晋升,领导好",数据开发,北京
143,维沃移动通信有限公司,vivo,2000人以上,不需要融资,东莞市市辖区,数据库工程师(DBA)(009757),3-5年,本科,15k-30k,股票期权，午餐补助，交通补助，带薪年假,智能硬件,开发|测试|运维类,"年终分红,带薪年假,年度旅游,岗位晋升",数据开发,东莞
144,广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,DBA工程师,1-3年,大专,6k-10k,"年终奖,周末双休,节日福利,高温补贴","软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"绩效奖金,带薪年假,通讯津贴,年底双薪",数据开发,广州
145,北京越博华阳商务服务有限公司,越博华阳商务服务,15-50人,未融资,朝阳区,数据库开发工程师,1-3年,本科,15k-22k,晋升空间  灵活性良好 老板open,IT技术服务｜咨询,开发|测试|运维类,,数据开发,北京
146,虎扑（上海）文化传播股份有限公司,虎扑,500-2000人,D轮及以上,杨浦区,DBA（mysql）,1-3年,本科,15k-25k,"快速发展,团队靠谱,大平台",内容社区,开发|测试|运维类,"上班看球赛,运动俱乐部,大神分享会,节日礼物",运维,上海
147,虎扑（上海）文化传播股份有限公司,虎扑,500-2000人,D轮及以上,虹口区,DBA工程师（实习） (MJ000488),不限,本科,2k-3k,转正机会,内容社区,开发|测试|运维类,"上班看球赛,运动俱乐部,大神分享会,节日礼物",运维,上海
148,杭州东方通信软件技术有限公司,东信软件,500-2000人,未融资,管城回族区,数据库开发工程师,不限,本科,8k-12k,优厚待遇、丰富成长机会，广阔发展空间,,开发|测试|运维类,"五险一金,年终分红,通讯津贴,定期体检",数据开发,郑州
149,平安利顺国际货币经纪有限责任公司,平安利顺,150-500人,不需要融资,浦东新区,数据库工程师SH,5-10年,本科,15k-20k,"专业培训,福利待遇好,管理规范,发展空间",科技金融,开发|测试|运维类,"带薪年假,交通补助,定期体检,年度旅游",运维,上海
150,北京多来点信息技术有限公司,哗啦啦,500-2000人,B轮,西城区,DBA开发工程师,3-5年,本科,20k-30k,带薪年假 专业培训 五险 双休,软件服务｜咨询,开发|测试|运维类,"技能培训,岗位晋升,领导好,带薪年假",运维,北京
151,朗新科技集团股份有限公司,朗新科技,2000人以上,上市公司,海珠区,DBA(J11576),3-5年,本科,8k-15k,朝九晚六 周末双休 六险一金 上下班不打卡,软件服务｜咨询,开发|测试|运维类,"技能培训,年底双薪,带薪年假,岗位晋升",运维,广州
152,朗新科技集团股份有限公司,朗新科技,2000人以上,上市公司,浦东新区,DBA(J12059),3-5年,本科,12k-20k,六险一金 周末双休 不打卡 年度体检,软件服务｜咨询,开发|测试|运维类,"技能培训,年底双薪,带薪年假,岗位晋升",运维,上海
153,深圳云路信息科技有限责任公司,云路信息,150-500人,不需要融资,南山区,oracle dba,3-5年,本科,15k-30k,公司处于快速发展阶段，发展空间大，双休。,软件服务｜咨询,开发|测试|运维类,,运维,深圳
154,北京希瑞亚斯科技有限公司,Moka,150-500人,B轮,海淀区,DBA工程师,3-5年,本科,20k-40k,八险一金 团队氛围好 提升空间大,软件服务｜咨询,开发|测试|运维类,"节日礼物,股票期权,扁平管理,领导好",运维,北京
